config_name,batch_label,batch_size,learning_rate,seed,train_acc,val_acc,test_acc,macro_f1,epochs,elapsed_s
full_lr1e-03,full,-1,0.001,0,0.1085123469182895,0.12625653397667874,0.10092110532639167,0.0890485431717896,500,72.4024288620003
full_lr1e-03,full,-1,0.001,1,0.11684400722746437,0.11942098914354644,0.11894273127753303,0.10210958539891643,500,72.48915162500089
full_lr1e-03,full,-1,0.001,2,0.09807267616944389,0.10776035383996783,0.10332398878654385,0.08267229387034955,500,63.135404279000795
full_lr1e-03,full,-1,0.001,3,0.16231680385464767,0.160032167269803,0.17781337605126152,0.16459765439175303,500,69.19448674200066
full_lr1e-03,full,-1,0.001,4,0.08472194338486248,0.07599517490952955,0.09931918301962354,0.0915293529809416,500,62.87119650900058
full_lr1e-04,full,-1,0.0001,0,0.0864284280265007,0.10615199034981906,0.0816980376451742,0.07263388253824835,500,71.74219689500023
full_lr1e-04,full,-1,0.0001,1,0.09235093354748043,0.09167671893848009,0.10612735282338806,0.08893117916580069,500,71.9033405129976
full_lr1e-04,full,-1,0.0001,2,0.08191126279863481,0.09650180940892641,0.09571485782939528,0.07686012329005579,500,62.87253272200178
full_lr1e-04,full,-1,0.0001,3,0.13270427624974904,0.13228789706473662,0.14977973568281938,0.13612723794667198,500,68.98554040399904
full_lr1e-04,full,-1,0.0001,4,0.06414374623569565,0.05669481302774427,0.08450140168201842,0.07650928055782354,500,63.346910236999975
