phase,strategy,joint_name,split_kind,split_id,seed,scaler,optimizer,learning_rate,batch_size,weight_decay,epochs,train_size,val_size,threshold_selected,train_mse,val_mse,train_auc_pr,val_auc_pr,train_precision,train_recall,train_f1,val_precision,val_recall,val_f1,generalization_gap_auc_pr,generalization_gap_f1,generalization_gap_mse,stopped_at
optimizer_screening,S3,,cv_fold,2,42,min-max,momentum,0.001,32,0.0,100,5101,1275,0.589520274157267,0.024121267501647402,0.02255043402170745,0.9213504559376938,0.9333957976251163,0.9599236641221374,0.8510998307952623,0.9022421524663677,0.9692307692307692,0.8513513513513513,0.9064748201438849,-0.01204534168742244,-0.004232667677517177,-0.001570833479939953,100
optimizer_screening,S3,,cv_fold,3,42,min-max,momentum,0.001,32,0.0,100,5101,1275,0.5827812474776674,0.02367903148947522,0.02426733855048259,0.9253455837971849,0.9162431753085244,0.9407407407407408,0.8595600676818951,0.8983200707338638,0.9763779527559056,0.8378378378378378,0.901818181818182,0.009102408488660507,-0.0034981110843181895,0.000588307061007369,100
optimizer_screening,S3,,cv_fold,4,42,min-max,momentum,0.001,32,0.0,100,5102,1274,0.6053341708456668,0.023377586742717477,0.024641502152100068,0.9198864952636713,0.9416155324149682,0.978,0.8260135135135135,0.8956043956043956,0.9846153846153847,0.8707482993197279,0.9241877256317689,-0.021729037151296926,-0.028583330027373233,0.0012639154093825912,100
optimizer_screening,S3,,cv_fold,0,42,min-max,momentum,0.005,32,0.0,100,5100,1276,0.7219550537823406,0.01623383742221912,0.01654360611268446,0.9339745273509568,0.9244901890116218,0.9765166340508806,0.8443316412859561,0.9056261343012705,0.9844961240310077,0.8581081081081081,0.9169675090252708,0.00948433833933493,-0.01134137472400032,0.0003097686904653431,100
optimizer_screening,S3,,cv_fold,1,42,min-max,momentum,0.005,32,0.0,100,5100,1276,0.7076062273337216,0.016421723486441178,0.015946425946636207,0.9358357452336872,0.917479700049686,0.9713740458015268,0.8612521150592216,0.9130044843049328,0.9841269841269841,0.8378378378378378,0.9051094890510948,0.018356045184001135,0.007894995253837966,-0.0004752975398049711,100
optimizer_screening,S3,,cv_fold,2,42,min-max,momentum,0.005,32,0.0,100,5101,1275,0.7071560669122254,0.01658543505694441,0.015231047197467814,0.9293642039394908,0.9427911452825597,0.9692898272552783,0.8544839255499154,0.9082733812949639,0.9770992366412213,0.8648648648648649,0.917562724014337,-0.013426941343068877,-0.009289342719373095,-0.001354387859476596,100
optimizer_screening,S3,,cv_fold,3,42,min-max,momentum,0.005,32,0.0,100,5101,1275,0.6912773731147703,0.016310558578083695,0.016816421905351826,0.9335890902216767,0.926129621644299,0.9394495412844037,0.8663282571912013,0.9014084507042253,0.9689922480620154,0.8445945945945946,0.9025270758122743,0.00745946857737767,-0.001118625108049054,0.0005058633272681315,100
optimizer_screening,S3,,cv_fold,4,42,min-max,momentum,0.005,32,0.0,100,5102,1274,0.7389017275176264,0.015779089604554465,0.017029794640688538,0.9298470174112944,0.9497591608228508,0.9917695473251029,0.8141891891891891,0.8942486085343228,0.9922480620155039,0.8707482993197279,0.9275362318840579,-0.01991214341155645,-0.03328762334973512,0.0012507050361340727,100
optimizer_screening,S3,,cv_fold,0,42,min-max,adam,5e-05,32,0.0,100,5100,1276,0.5573547180595353,0.025837644125895863,0.02667744462885329,0.9321274182782089,0.9236801019147055,0.9726027397260274,0.8409475465313029,0.9019963702359347,0.9921875,0.8581081081081081,0.9202898550724637,0.008447316363503377,-0.01829348483652904,0.0008398005029574274,100
optimizer_screening,S3,,cv_fold,1,42,min-max,adam,5e-05,32,0.0,100,5100,1276,0.5405242445653337,0.02622660878288653,0.025563281770480294,0.9336902589293468,0.9176344007151416,0.9463955637707948,0.8663282571912013,0.9045936395759717,0.9618320610687023,0.8513513513513513,0.903225806451613,0.016055858214205188,0.0013678331243587305,-0.000663327012406234,100
optimizer_screening,S3,,cv_fold,2,42,min-max,adam,5e-05,32,0.0,100,5101,1275,0.5468254931435481,0.02643756991374538,0.024848519024085903,0.9284539377077599,0.9388315508278452,0.9674952198852772,0.856175972927242,0.9084380610412927,0.9694656488549618,0.8581081081081081,0.9103942652329748,-0.010377613120085338,-0.001956204191682187,-0.0015890508896594761,100
optimizer_screening,S3,,cv_fold,3,42,min-max,adam,5e-05,32,0.0,100,5101,1275,0.5440480233535505,0.026011869372683745,0.02640000730105713,0.9322643793606981,0.9224150664076363,0.9587242026266416,0.8646362098138748,0.9092526690391459,0.9689922480620154,0.8445945945945946,0.9025270758122743,0.009849312953061795,0.006725593226871607,0.0003881379283733853,100
optimizer_screening,S3,,cv_fold,4,42,min-max,adam,5e-05,32,0.0,100,5102,1274,0.5706189363778369,0.02563788305575926,0.02681099415867208,0.926736752648028,0.9486764700606926,0.997946611909651,0.8209459459459459,0.9008341056533828,0.9922480620155039,0.8707482993197279,0.9275362318840579,-0.02193971741266454,-0.026702126230675027,0.0011731111029128216,100
optimizer_screening,S3,,cv_fold,0,42,min-max,adam,0.0001,32,0.0,100,5100,1276,0.6565529263697745,0.018900379929573156,0.01944017209135911,0.9366444876299046,0.9261036551037483,0.9919354838709677,0.8324873096446701,0.9052437902483901,1.0,0.8513513513513513,0.9197080291970803,0.01054083252615634,-0.0144642389486902,0.0005397921617859534,100
optimizer_screening,S3,,cv_fold,1,42,min-max,adam,0.0001,32,0.0,100,5100,1276,0.6107614682069171,0.019147747439411715,0.018627134456625432,0.9375620299843621,0.9225953983698996,0.9429097605893186,0.8663282571912013,0.9029982363315697,0.9621212121212122,0.8581081081081081,0.9071428571428571,0.014966631614462544,-0.004144620811287414,-0.0005206129827862831,100
optimizer_screening,S3,,cv_fold,2,42,min-max,adam,0.0001,32,0.0,100,5101,1275,0.6389666661655794,0.019369080250431978,0.017761670439864496,0.9323841750380902,0.9432413896837011,0.9841897233201581,0.8426395939086294,0.9079307201458523,0.9844961240310077,0.8581081081081081,0.9169675090252708,-0.010857214645610846,-0.0090367888794185,-0.0016074098105674818,100
optimizer_screening,S3,,cv_fold,3,42,min-max,adam,0.0001,32,0.0,100,5101,1275,0.613852634349833,0.018944445076864665,0.0194080443718247,0.9360665625009884,0.9283631729201229,0.9499072356215214,0.8663282571912013,0.9061946902654867,0.9692307692307692,0.8513513513513513,0.9064748201438849,0.007703389580865472,-0.00028012987839820536,0.00046359929496003413,100
